Name of Organisation,Type of Assistance,Eligibility,How to Apply,Contact Information,Description,External URLs,Ethnicity,Amount/Benefits Provided,Contact,External_URLs
North East HeARTS Award (North East CDC),General assistance,Low-income families,Follow application instructions in the description,Contact organisation,"The North East HeARTS Award is the first community-initiated effort to empower persons with disabilities by providing opportunities for creative expression and personal development through the visual arts. It not only celebrates artistic achievements but also serves as a crucial step in making art education more accessible. It ensures that persons with disabilities, particularly those facing financial constraints, can continue to progress and thrive through arts.
In its inaugural year, the North East HeARTS Award is projected to impact 60 beneficiaries. Each recipient will be awarded a quantum amount ranging from $2,000 to $5,000, providing them with the necessary resources to continue their artistic journey.
It comprises of two categories:
The North East Encouraging HeARTS Award
For individuals who use art as a foundation in their daily lives to express themselves and develop important skills, including but not limited to:

Using art as a means of communication
Developing fine motor skills
Developing social skills

Grant Amount: $2,000
Criteria: Only for households with gross Per Capita Income of $1,200 and below
Note: Successful applicants for any Arts grant by the NECDC are eligible to apply for the Encouraging HeARTS Award after 24 months. 
The North East Shining HeARTS Award
For individuals who have attained a certain level of art proficiency and will like to further develop their skills  professionally, including but not limited to:

Learning a new art medium
Engaging a professional mentor/tutor to improve their current skills

Grant Amount: $5,000",,All,Not specified,,
North West Emergency Relief Fund (North West CDC),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"The North West Emergency Relief Fund was set up in January 2014 to provide immediate temporary relief to tide them through their financial difficulties due to unforeseen circumstances or disaster. 
North West CDC identifies the beneficiaries jointly with the Grassroots Organisations in the North West District.",,All,Not specified,,
North West Interim Financial Assistance Scheme (North West CDC),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,The North West Interim Financial Assistance Scheme (IFAS) was set up in April 2022 to provide temporary assistance to vulnerable residents in the North West District to tide them through their financial difficulties. Each approved household will receive up to $500 monetary assistance per financial year.,,All,Not specified,,
North West Utilities Assistance Scheme (North West CDC),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,The North West Utilities Assistance Scheme aims to help needy families facing imminent disconnection to defray their utility expenses. These families will then be able to offset water-related utilities arrears or avoid having their power supply disconnected.,,All,Not specified,,
NTUC Care Fund (e-Vouchers),School fees,Contact organisation for details,Contact organisation for details,Contact organisation,"The NTUC Care Fund (e-Vouchers) programme offers eligible members up to $100 worth of assistance on daily essentials and schools supplies, with an additional $100 for each eligible school-going child and additional $100 per eligible school-going child studying in a special needs school.",,All,Not specified,,
NTUC Hardship Grant,Medical assistance,Low-income families,Contact organisation for details,Contact organisation,The NTUC Hardship Grant provides one-off assistance to low-income union members in the event that the member suffers hardship arising from one of the following circumstances which are of a non-industrial nature:DeathTotal and permanent incapacitySerious chronic medical condition*Registered fire or flood victim* Pre-existing serious chronic medical conditions diagnosed before the applicant became a Union Member will not be considered.,,All,Not specified,,
ONE Emergency Fund,General assistance,Low-income families,Contact organisation for details,Contact organisation,"ONE (SINGAPORE)’s Emergency Fund disburses financial and in-kind assistance to low-income individuals and families in Singapore who urgently need help. The fund was established to help individuals who need assistance, but cannot find it elsewhere, or cannot obtain it in time. Emergency funds are used to pay a utility bill, buy an EZ-link card, purchase prescription spectacles and provide other types of support.",,All,Not specified,,
Patient Support Fund (National Arthritis Foundation),Medical assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"The Patient Care Subsidy Fund subsidises the medical cost of financially needy Singaporeans who are stricken with Arthritis to enable them to :
1) obtain the necessary medication to better manage their disease and
2) to enhance their employment prospects and allow them to be gainfully employed.
The Patient Care Subsidy Fund covers the following :
1) Subsidy for Biologics Treatment
2) Subsidy for Transportation Arrangements
3) Subsidy for Medical Aids/Equipment",,All,Not specified,,
Project 100=50 (Kembangan-Chai Chee PA),General assistance,Low-income families,Contact organisation for details,Contact organisation,Kembangan-Chai Chee’s Project 100=50 seeks to address the needs of middle-income families by providing them an opportunity to purchase their daily necessities or groceries at half the retail price or at a maximum value of $100.,,All,Not specified,,
Project Love (New Life Community Services),General assistance,Contact organisation for details,Follow application instructions in the description,Contact organisation,"Project Love is New Life’s direct financial assistance programme, providing interim assistance for immediate needs as well as fee subsidies for our childcare and student care services. Funds for the programme are donation-driven. Our staff provide casework to help families gain clarity on their financial situation and equip them with financial, so that they are equipped to escape the vicious cycle of poverty.This fund is open to Singapore citizens and Singapore permanent residents. Our primary focus is on families living in Woodlands, Bukit Panjang and the nearby regions.  Households situated beyond these areas and foreigners on Long-Term Visit Passes may apply on a case-by-case basis.",,All,Not specified,,
Project Stable Staples,General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"Providing stability to families in these trying times
After the results of last year’s fundraising campaign where we managed to raised over SGD160k to support 3k+ individuals across 600+ households through circuit breaker, we were heartened to see many similar organisations popping up to help fill this gap. However, we’ve identified a new gap that continued to remain, one where families awaiting for support through these various programmes often had to ration their resources to get by in those few weeks before they get onboarded. We have since pivoted in an attempt to tackle this gap, and act as a quick response force in order to make sure no babies go hungry in these trying times.",,All,Not specified,,
Ray of Hope,General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,We are a crowdfunding charity that helps people who have fallen through the cracks,,All,Not specified,,
RCS BLESS Family (Riverlife Community Services),General assistance,Low-income families,Contact organisation for details,Contact organisation,RCS BLESS Family is a holistic family programme that provides clinical support and financial assistance to the low-income families in the community. We seek to empower and strengthen each member of the family unit through intentional befriending and journeying alongside the families we serve. Programme FeaturesGrocery SupportFamily BefriendingFrequency: Once a month,,All,Not specified,,
Scholarship Awards (FaithActs),School fees,Low-income families,Contact organisation for details,Contact organisation,"FaithActs Scholarship Awards seek to encourage students with outstanding academic performance. Recipients of the awards would also be involved in community projects as part of their character development.
AWARD DETAILS
These awards are presented to students from lower income families of selected schools
(Queenstown Secondary, Queensway Secondary, Fairfield Methodist School (Secondary) and ITE College West) who have achieved excellent results.
The scholarship is valued at $2,000 per annum, and payable in two payments upon completion of 10 VIA hours.",,All,Not specified,,
School Transport Assistance and Relief Scheme (STARS) (North East CDC),School fees,Contact organisation for details,Contact organisation for details,Contact organisation,"The scheme is applicable for students who are studying in Government or Government-Aided Primary, Secondary Schools including Special Education Schools and ITE/JC/Polytechnic/Undergraduate Diploma or equivalent. Tertiary students must currently be enrolled in full time study at Public/Private Educational Institutions/Madrasah with Singapore as main country of study. Educational Institution must be registered with Ministry of Education (MOE), Council for Private Education (CPE) or currently hold valid licenses.",,All,Not specified,,
Seniors’ Mobility and Enabling Fund (SMF) (AIC),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"The Seniors’ Mobility and Enabling Fund (SMF) provides holistic support for seniors to age in place within the community by extending subsidies to Singaporean seniors:
Requiring mobility and assistive devices for daily independent living and to remain ambulant in the community
Receiving government funded home care and care within the community, needing home healthcare items for their care",,All,Not specified,,
SFCCA Hardship Assistance Fund Scheme (CDAC),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,We provide short-term financial assistance to individuals who are facing financial hardship.,,All,Not specified,,
SIET Bursary (Singapore Indian Education Trust),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,SIET grants bursaries to deserving full-time students who are experiencing financial difficulties. All full-time students have to be currently enrolled in a government post-secondary institutions. Please see List of Eligible Post-Secondary Institutions for more information.,,Indian,Not specified,,
SIET Interest Free Study Loan (Singapore Indian Education Trust),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,SIET interest free study loan is granted to deserving students who are aspiring to attain their tertiary qualification or working adults aspiring to upgrade themselves within their respective employment sector.,,Indian,Not specified,,
Singapore Buddhist Welfare Services - Public Assistance Programme,General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"Launched in 1985, our Public Assistance Programme provides the needy with Monthly Financial Assistance, in the form of cash grants and/or Monthly Food Rations, based on the needs of beneficiaries as assessed through home visits conducted every 6 months. Both assistance schemes are targeted to support needy beneficiaries, by alleviating their financial constraints and meeting their basic needs for meals. We serve applicants who are referred by hospitals, family service centres, grassroots organisations and public agencies.
Our Monthly Financial Assistance scheme aims to provide monthly pocket allowance to needy students, who face special hardship circumstances and require regular financial assistance, to help them with daily expenses, such as meal and transport expenses.
Monthly food rations scheme involves the collection, packing and delivery of food items on monthly basis, to needy individuals and families with financial difficulties. A stringent procedure is in place to assess the financial profiles of applicants or referrals, thus ensuring that only needy clients benefit from the service. Even in our affluent society today, there are many families and individuals who need your help for basic necessities that many of us take for granted. SBWS has been distributing food rations monthly to elderly seniors and families with financial difficulties, regardless of race or religion.",,All,Not specified,,
Singapore Cancer Society Education Financial Assistance Scheme (SCS),School fees,Contact organisation for details,Contact organisation for details,Contact organisation,"SCS provides school allowance grants and bursaries to alleviate the financial burden of school-going children and youths whose families are impacted by cancer. In 2020, 59 children received school allowance grants totalling $53,950.",,All,Not specified,,
Singapore Muslim Education Fund (AMP Singapore),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"AMP acts as the custodian of the Singapore Muslim Education Fund (SMEF), which was established by a group of activists in 2013 to address the under-representation of Malay/Muslims in the Law and Medicine fields.Today, the Fund aims to provide financial assistance for students pursuing medicine degree studies overseas through through the SMEF Medicine Scholarship. It also aims to create awareness of the importance of pursuing these degree programmes to uplift the community by providing education advisory and coaching to the students and their parents on various university options available.At the same time, SMEF also recognises the efforts of students who may struggle financially and face multiple challenges in their lives yet rise above the adversities to pursue an education or those who show outstanding leadership qualities in a uniformed group CCA through the SMEF-Lieutenant Adnan Award.The SMEF-Professor Ahmad Ibraim Scholarship champions students pursuing law degree at overseas universities recognised by the Ministry of Law.The SMEF-Rufaydah Nursing Award launched in 2020, recognises the importance of nurses on the front lines of care especially during the COVID-19 pandemic. This award will be awarded to full-time diploma nursing students at local polytechnics who are passionate in their field, and portray academic excellence, strong leadership qualities and deep interest to serve the community.",,Malay,Not specified,,
Sivadas-HEB Preschool Bursary,General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"OVERVIEWMr Sivadas Sankaran, a Singaporean philanthropist, through his Will has created a Trust to help needy Hindu children with their education.The Trust has established the Sivadas-HEB Education Fund to help disadvantaged Hindu children get a head start in life.",,All,Not specified,,
Sivadas-HEB Tertiary Bursary,General assistance,Low-income families,Follow application instructions in the description,Contact organisation,"The Sivadas-HEB Education Fund offers Hindu students from low-income families pursuing tertiary education financial assistance to help them meet the cost of their education. Students can apply for either a Tuition Subsidy or an Education Grant.Calls for students to apply for these bursaries are advertised in the Straits Times, posted on the HEB website and on HEB’s Facebook page. Letters are also sent to all public and approved private tertiary institutions to alert students of the availability of the assistance scheme.Applications are normally open in April/May and September/October.",,All,Not specified,,
South West Caregiver Support Fund (South West CDC),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"The South West Caregiver Support Fund is an interim one-time assistance of $800, to help caregivers defray self-care and caregiving expenses.",,All,Not specified,,
South West Community Caring Fund (South West CDC),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,South West Community Caring Fund provide immediate support of $250 to the following two groups to defray child-raising expenditure and cope with daily expenses.,,All,Not specified,,
South West Tertiary Grant (South West CDC),General assistance,Low-income families,Contact organisation for details,Contact organisation,"The South West Tertiary Grant is setup to help students from low-income families, defray their general education expenses such as transport, sports, wellness and self-development courses. Successful applicants will receive $600 in grant.",,All,Not specified,,
Special Needs Savings Scheme (Special Needs Trust Company),General assistance,Contact organisation for details,Follow application instructions in the description,Contact organisation,"SNSS was developed by the Ministry of Social and Family Development (MSF) in partnership with the Central Provident Fund (CPF) Board to enable parents to set aside CPF savings for the long term care of children with special needs. Under SNSS, parents may nominate their loved one with special needs to receive a regular stream of fixed payouts upon the parent’s demise.How does SNSS work?At the point of nomination, parents can decide the amount of monthly payouts the child with special needs will receive upon the nominating parent's demise. The minimum monthly CPF payout is $250 for each nominated child with special needs. Parents may decide on a higher quantum.There is no minimum balance required in parents’ CPF account to sign up for SNSS. However, the nominating parent’s CPF savings upon his/her demise must be sufficient to support a year’s worth of payout (e.g. a minimum monthly payout is S$250 x 12 months = S$3,000). If, upon the parent’s demise this condition is not met, the CPF savings will be disbursed as a lump sum to the nominee with special needs.Without the SNSS nomination, a deceased parent’s CPF savings in the Ordinary, Special, Medisave and Retirement Accounts will be distributed to his/her nominee(s) as a one-off lump sum payment in cash if he/she had made a Cash nomination. If the deceased parent did not make any nomination, his/her CPF savings will be transferred to the Public Trustee’s Office for distribution to his/her family members in accordance with the Intestate Succession Act or Inheritance Certificate (for Muslims).When the nominating parent passes on, the child with special needs will receive these pre-determined monthly payouts until the deceased parent’s CPF savings are exhausted.BOTH parents of an eligible child with special needs may apply for the scheme for the benefit of the same child.",,Malay,Not specified,,
Special Needs Trust Company (SNTC),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"Supported by the Ministry of Social and Family Development (MSF), Special Needs Trust Company (SNTC) is the only non-profit trust company set up to provide affordable trust services for persons with disabilities. Since 2014, the Special Needs Savings Scheme (SNSS) is also administered by SNTC. The purpose of SNTC is to provide a vehicle that ensures the financial security of persons with special needs is met when their parents or caregivers pass on. At SNTC, we have a team of trained social workers who will work with the caregivers to develop individualised care plans for each special beneficiary to meet their long-term care needs.",,All,Not specified,,
Support for Families of Incarcerated Person (Community Justice Centre),General assistance,Low-income families,Contact organisation for details,Contact organisation,"The scheme supports vulnerable, low-income families, especially with children impacted by parental incarceration (who is the sole breadwinner). The CJC will contact and assess the needs of these families to determine the types of social assistance to be rendered to them. Referrals may also be made to our respective community partners such as the FSCs, SSOs for long-term support. The initial challenge is making the contact before reaching out to the family members.",,All,Not specified,,
TAA Trust Fund (Tabung Amal Aidilfitri Trust Fund),General assistance,Low-income families,Contact organisation for details,Contact organisation,"TAA Trust Fund (Tabung Amal Aidilfitri Trust Fund) was founded in 1992 with a mission to help the poor, needy and the less fortunate. Additionally, TAA beneficiaries include patients from low-income families who suffer from chronic diseases and illnesses such as kidney failure, stroke, cancer and diabetes.TAA Trust Fund became a Charity Trust under the Charities Act in 2006. TAA was accorded the status of an Institution of a Public Character (IPC) in 2007, ensuring that TAA operates with full transparency in compliance with good governance. TAA is part of the SG Cares movement and a member of the National Council of Social Service (NCSS).The donations raised annually enables TAA to assist more than 3,000 beneficiaries. TAA Trust Fund will continue to work closely with the community to assist the underprivileged.",,All,Not specified,,
The Dulcie Wilson Scholarship Fund (Haemophilia Society of Singapore),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"In memory of Mrs. Dulcie Wilson, Haemophilia Society of Singapore (HSS) have pledged $20,000 to set up the Dulcie Wilson Scholarship Fund to benefit HSS members in their academic endeavours.",,All,Not specified,,
The Straits Times School Pocket Money Fund,School fees,Low-income families,Contact organisation for details,Contact organisation,"The Straits Times School Pocket Money Fund was started in 2000 as a community project initiated by The Straits Times to provide pocket money to children from low-income families to help them through school. The children can use this money for school-related expenses, such as buying a meal during recess, paying for transport or using it to meet other schooling needs. The financial help also eases the burden of the many parents who are already struggling to feed their families on their meagre incomes.
The Fund supports about 10,000 children and youth a year. Since the project started in 2000, STSPMF has disbursed close to $90m and helped over 200,000 cases of children and youths in providing them with monthly school pocket money.
STSPMF was established as a Trust on 20 October 2010 with a Board of Trustees and was granted charity status on 14 November 2011 with Institution of A Public Character (IPC) status effective from 1 January 2012. It aims to provide financial support to Children & Youths in need to pay for school-related expenses and support their social & educational development.
The fund works with the Ministry of Education, mainstream and special needs schools, youth centres, family service centres and children's homes in disbursing the funds to students from low-income families. For the next few years, STSPMF hopes to enhance its accessibility to eligible students by collaborating with more schools and agencies.",,All,Not specified,,
Transformation Fund (Daughters of Tomorrow),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"Here at Daughters Of Tomorrow, we understand that education is the key pillar to economic empowerment for women. We also understand that job bridging is only the beginning; you have to continuously upskill yourselves in order to keep up with the rigours of the workforce.On top of needing time and resources to upskill, there’s also great financial and personal commitment involved and sometimes you just need that extra little bit of support to enable you to take the next step.This led DOT to launch the Transformation Fund, a programme where candidates can get access to that little extra bit of support, for the betterment of yourself and for your family.",,All,Not specified,,
Victim Assistance Scheme (Community Justice Centre),Medical assistance,Low-income families,Contact organisation for details,Contact organisation,"At the CJC, we understand that victims of violent crime may suffer financial stress which can be as devastating as their physical injuries and emotional trauma. There may be unforeseen direct medical expenses, loss of income and other expenses incurred to which these victims have no recourse to. While the offenders bear the primary responsibility of making such compensation, there are instances in which this is impossible due to their incarceration or simply lack of financial means.",,All,Not specified,,
Viriya Children Medical Programme (Viriya Community Service),Medical assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"Launched in June 2010, the Viriya Children Medical Programme (VCMP) helps children who requires long term medical care from the SingHealth hospitals. The programme was subsequently expanded to all the medical institutions in Singapore.VCMP also works closely with the parents and caregivers to meet the needs of the family, including the siblings of the direct beneficiary to ensure that their care and developmental needs are not compromised.Programme Component:Financial assistance to help with the increased cost due to medical needs.Casework to identify and meet varying needs of child and family.Caregiver support activities such as support group, self-care programmes.Family bonding activities to improve family relationships and resilience.Social and recreational activities to build mutual support network.",,All,Not specified,,
Viriya Children’s Education Fund (Viriya Community Services),School fees,Low-income families,Contact organisation for details,Contact organisation,"The Viriya Children’s Education Fund (VCEF) aims to support and motivate our children and youths in achieving their academic potential and building a strong foundation towards better life outcome.
VCEF compromises of the following:

Back-To-School-Packs
Viriya Education Award
Viriya - KPMG Scholarship Fund
The Straits Time School Pocket Money Fund (STSPMF)

VFSC administers the funds from The Straits Times School Pocket Money Fund (STSPMF). The funds provide pocket money to children and youths from low-income families to help them through school. The financial help also alleviate the stress faced by the parents in coping with the schooling needs of the children and youths while struggling to make ends meet.",,All,Not specified,,
Viriya Elderly Medical Programme,Medical assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"Launched on 13 July 2013, the Viriya Elderly Medical Programme (VEMP) provides financial support to seniors with various medical conditions.Aside from covering their daily expenses, VEMP also provides subsidies to cover other expenses such as transport, TCM treatment and other consumables.Our social work practitioners will work with eldercare agencies and hospitals to provide community care for the seniors. Case management services will also be provided to link the beneficiaries to the required community resources.",,All,Not specified,,
Viriya Elderly Medical Programme - Viriya,Medical assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"The Viriya Elderly Medical Programme (VEMP) provides financial support to seniors with various medical conditions.Aside from covering their daily expenses, VEMP also provides subsidies to cover other expenses such as transport, TCM treatment and other consumables.Our social work practitioners will work with eldercare agencies and hospitals to provide community care for the seniors. Case management services will also be provided to link the beneficiaries to the required community resources.",,All,Not specified,,
Viriya Gap Fund - Viriya,General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,Viriya GAP Fund is set up by Viriya Community Services to help fill service gaps in meeting the needs of individual and families under our care. The fund focuses on meeting basic needs of our clients and also seek to support educational needs and key development opportunities for those from disadvantaged background to maximize their potential.,,All,Not specified,,
Viriya MediAssist Fund - Viriya,Medical assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"Viriya MediAssist Fund is a joint collaboration between VFSC and Potong Pasir Citizen’s Consultative Committee (CCC).
The purpose of Viriya MediAssist Fund is to cover the basic and medical needs of Potong Pasir residents. The fund covers their medical treatment, medial follow-ups, medical equipment and consumables, treatments and other support services such as home help service and home rectification. VFSC’s social work practitioners provide casework and counselling to the individuals and work with the family on topics such as caregivers’ stress, family conflicts and referral to other support services.",,All,Not specified,,
Viriya-KK Children’s Hospital HomeCare Programme,Medical assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"Launched in 2004, the programme provides funding to KK Children Hospital to help children purchase and maintain medical equipment for home use. This allows the children to receive treatment in the comforts of their home instead of the hospital.Through this initiative, we hope to minimise the stress faced by their family and caregivers from logistic challenges and lack of adequate homecare. By enhancing their quality of life, we bring smiles to the faces of these children and their families.Applications and selections of the beneficiaries are managed by KK Women’s and Children’s Hospital.",,All,Not specified,,
We Care @ North East Fund (North East CDC),General assistance,Low-income families,Contact organisation for details,Contact organisation,"The We Care @ North East Fund aims to help needy families who require interim financial support, but do not meet the national gross household income criteria. The scheme provides assistance in the form of once-off or up to three months of cash assistance.",,All,Not specified,,
Welfare Aid Fund (SCS),Medical assistance,Low-income families,Contact organisation for details,Contact organisation,"The Welfare Aid fund provides temporary financial assistance and/or medical supplies to enhance the well-being of needy cancer patients. Medical supplies include the supply of milk, diapers, medical dressings, stoma bags and other medical equipment.
Welfare aid mitigates the financial strain endured by patients and their families, which may arise from unemployment, loss of income, and high treatment costs. Funding may be accessed through healthcare professionals or medical social workers from various hospitals, hospices, and voluntary welfare organisations in Singapore.
Since its inception in 2005, more than S$15.12 million in aid was disbursed assisting more than 6,400 patients.",,All,Not specified,,
